date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-05-01,GHCND:USW00014764,43,",,W,",33,",,W,2400",0,",,W,",0,",,W,2400",66,"H,,S,",67,",,W,2400",56,",,W,2400",140,",,W,",310,",,W,",72,",,W,",98,",,W,",1,",,W,",1,",,W,",,,,
2017-05-02,GHCND:USW00014764,26,",,W,",84,",,W,2400",0,",,W,",0,",,W,2400",76,"H,,S,",139,",,W,2400",56,",,W,2400",260,",,W,",260,",,W,",72,",,W,",103,",,W,",1,",,W,",,,,,,
2017-05-03,GHCND:USW00014764,57,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",123,"H,,S,",178,",,W,2400",39,",,W,2400",290,",,W,",330,",,W,",116,",,W,",170,",,W,",,,,,,,,
2017-05-04,GHCND:USW00014764,34,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",83,"H,,S,",144,",,W,2400",11,",,W,2400",180,",,W,",180,",,W,",81,",,W,",112,",,W,",,,,,,,,
2017-05-05,GHCND:USW00014764,50,",,W,",173,",,W,2400",0,",,W,",0,",,W,2400",78,"H,,S,",100,",,W,2400",67,",,W,2400",100,",,W,",100,",,W,",143,",,W,",174,",,W,",1,",,W,",,,,,,
2017-05-06,GHCND:USW00014764,45,",,W,",33,",,W,2400",0,",,W,",0,",,W,2400",106,"H,,S,",150,",,W,2400",83,",,W,2400",140,",,W,",150,",,W,",107,",,W,",170,",,W,",1,",,W,",,,1,",,W,",,
2017-05-07,GHCND:USW00014764,62,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",113,"H,,S,",156,",,W,2400",83,",,W,2400",180,",,W,",190,",,W,",125,",,W,",165,",,W,",1,",,W,",,,,,,
2017-05-08,GHCND:USW00014764,34,",,W,",13,",,W,2400",0,",,W,",0,",,W,2400",89,"H,,S,",117,",,W,2400",44,",,W,2400",220,",,W,",250,",,W,",72,",,W,",121,",,W,",1,",,W,",,,,,,
2017-05-09,GHCND:USW00014764,22,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",69,"H,,S,",117,",,W,2400",0,",,W,2400",90,",,W,",130,",,W,",63,",,W,",89,",,W,",1,",,W,",,,,,,
2017-05-10,GHCND:USW00014764,30,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",86,"H,,S,",133,",,W,2400",56,",,W,2400",120,",,W,",130,",,W,",72,",,W,",94,",,W,",,,,,,,,
2017-05-11,GHCND:USW00014764,33,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",94,"H,,S,",128,",,W,2400",67,",,W,2400",20,",,W,",20,",,W,",72,",,W,",94,",,W,",1,",,W,",,,,,,
